Network,Metric,1st Most Important,2nd Most Important,3rd Most Important
Cycle,Convergence Time,"old_theory_payoff (101.045, 253.002)","h_index_min (100.076, 252.438)","num_agents (99.001, 250.763)"
Cycle,Correct Theory Rate,"h_index_max (0.315, 0.671)","new_theory_payoff_old_true (0.314, 0.674)","old_theory_payoff (0.313, 0.677)"
Cycle,Old Theory Rate,"old_theory_payoff (0.305, 0.663)","new_theory_payoff_old_true (0.294, 0.657)","new_theory_payoff_new_true (0.294, 0.655)"
Wheel,Convergence Time,"num_agents (96.599, 253.828)","new_theory_payoff_old_true (94.697, 249.623)","old_theory_payoff (94.076, 249.832)"
Wheel,Correct Theory Rate,"new_theory_payoff_new_true (0.312, 0.656)","new_theory_payoff_old_true (0.306, 0.657)","old_theory_payoff (0.291, 0.642)"
Wheel,Old Theory Rate,"num_agents (0.368, 0.733)","h_index_min (0.315, 0.675)","new_theory_payoff_new_true (0.308, 0.669)"
Complete,Convergence Time,"old_theory_payoff (74.015, 230.793)","new_theory_payoff_old_true (73.780, 230.976)","num_agents (68.448, 221.954)"
Complete,Correct Theory Rate,"new_theory_payoff_new_true (0.331, 0.693)","old_theory_payoff (0.297, 0.655)","num_agents (0.284, 0.646)"
Complete,Old Theory Rate,"new_theory_payoff_new_true (0.352, 0.714)","new_theory_payoff_old_true (0.310, 0.671)","old_theory_payoff (0.296, 0.654)"
Bipartite,Convergence Time,"h_index_min (70.966, 224.988)","old_theory_payoff (66.071, 215.775)","h_index_max (64.097, 212.717)"
Bipartite,Correct Theory Rate,"num_agents (0.330, 0.696)","new_theory_payoff_old_true (0.316, 0.683)","h_index_min (0.314, 0.672)"
Bipartite,Old Theory Rate,"h_index_min (0.346, 0.709)","new_theory_payoff_new_true (0.331, 0.691)","old_theory_payoff (0.321, 0.680)"
Cliques,Convergence Time,"h_index_min (89.315, 247.790)","old_theory_payoff (88.281, 246.769)","new_theory_payoff_old_true (85.839, 242.648)"
Cliques,Correct Theory Rate,"old_theory_payoff (0.353, 0.719)","new_theory_payoff_old_true (0.328, 0.693)","new_theory_payoff_new_true (0.324, 0.693)"
Cliques,Old Theory Rate,"new_theory_payoff_new_true (0.320, 0.679)","h_index_min (0.310, 0.672)","new_theory_payoff_old_true (0.298, 0.662)"
