size,network_type,success_rate,avg_steps
2,cycle,0.5307,59.9351799510081
2,wheel,0.5242,59.3170545593285
2,complete,0.5226,59.59854573287409
4,cycle,0.7506,61.617505995203835
4,wheel,0.6749,35.77581863979849
4,complete,0.672,35.933928571428574
6,cycle,0.8962,88.67284088373131
6,wheel,0.831,50.274488567990375
6,complete,0.7367,26.20415365820551
8,cycle,0.9618,107.15221459762944
8,wheel,0.9105,60.155738605162
8,complete,0.7873,21.092594944747873
10,cycle,0.9873,123.05611263040616
10,wheel,0.9509,67.42549163949943
10,complete,0.82,17.916951219512196
12,cycle,0.9952,136.36183681672026
12,wheel,0.9728,71.53042763157895
12,complete,0.8337,15.48926472352165
