size,network_type,success_rate,avg_time
2,cycle,0.543,38.79926335174954
2,wheel,0.512,35.525390625
2,complete,0.533,37.091932457786115
4,cycle,0.702,39.495726495726494
4,wheel,0.658,25.846504559270517
4,complete,0.667,27.53223388305847
6,cycle,0.791,73.16182048040456
6,wheel,0.75,40.269333333333336
6,complete,0.725,20.42206896551724
8,cycle,0.784,84.33418367346938
8,wheel,0.799,48.221526908635795
8,complete,0.754,19.20291777188329
10,cycle,0.758,97.15831134564644
10,wheel,0.805,53.24099378881988
10,complete,0.759,17.051383399209485
12,cycle,0.733,104.46521145975443
12,wheel,0.767,59.94393741851369
12,complete,0.757,16.28797886393659
